netst,stla,stlo,geometry,index_right,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
CI.HOL,34.458309,-117.84539,POINT (-117.84539 34.458309),67,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.1  Mojave Basin and Range,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,2364809.14981,129592475732.0
CI.HRV,34.727112,-118.804398,POINT (-118.804398 34.727112),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.HYS,34.865318,-117.569748,POINT (-117.569748 34.865318),67,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.1  Mojave Basin and Range,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,2364809.14981,129592475732.0
CI.IDO,33.79678,-116.221519,POINT (-116.221519 33.79678),73,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,4638890.80445,218013427405.0
CI.IPT,34.19701,-117.284981,POINT (-117.284981 34.19701),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.JEM,33.080978,-116.597549,POINT (-116.597549 33.080978),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.JNH2,34.44894,-117.955406,POINT (-117.955406 34.44894),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.JPLS,34.205299,-118.173683,POINT (-118.173683 34.205299),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.JTH,34.126438,-116.037849,POINT (-116.037849 34.126438),67,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.1  Mojave Basin and Range,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,2364809.14981,129592475732.0
CI.JVA,34.366219,-116.612663,POINT (-116.612663 34.366219),67,10.2.1,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.1  Mojave Basin and Range,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,2364809.14981,129592475732.0
CI.KML,33.597382,-117.879089,POINT (-117.879089 33.597382),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
